proveedor,fecha_vencimiento,saldo_pendiente,tipo,dias_al_vencimiento,ventana
Importadora panama,1900-03-30,778600.0,internacional,-46134,vencido
Velox,1900-03-30,13210142.753699988,internacional,-46134,vencido
Fernando Chamorro,2025-10-20,40799.0,nacional,-274,vencido
Laboratorio San Jorge SAS,2025-11-01,486581.0,nacional,-262,vencido
Laboratorio San Jorge SAS,2025-11-12,132331.0,nacional,-251,vencido
Laboratorio San Jorge SAS,2025-11-20,86962.0,nacional,-243,vencido
Roma SA,2025-11-24,27471.0,nacional,-239,vencido
Roma SA,2025-11-24,47654.0,nacional,-239,vencido
Diana Carolina Otalvaro,2025-11-25,186836.0,nacional,-238,vencido
Infantiles ABBA,2025-11-27,110585.0,nacional,-236,vencido
Infantiles ABBA,2025-11-27,73724.0,nacional,-236,vencido
Infantiles ABBA,2025-11-27,604834.0,nacional,-236,vencido
Infantiles ABBA,2025-11-28,57596.0,nacional,-235,vencido
Infantiles ABBA,2025-11-28,86394.0,nacional,-235,vencido
Laboratorio San Jorge SAS,2025-11-28,213869.0,nacional,-235,vencido
Roma SA,2025-11-29,10019.0,nacional,-234,vencido
Laboratorio San Jorge SAS,2025-12-03,93121.0,nacional,-230,vencido
Diseños y Puntadas,2025-12-06,200.0,nacional,-227,vencido
Infantiles ABBA,2025-12-13,135968.0,nacional,-220,vencido
Infantiles ABBA,2025-12-13,532290.0,nacional,-220,vencido
Infantiles ABBA,2025-12-13,368617.0,nacional,-220,vencido
Grupo Family & Home,2025-12-16,60014.0,nacional,-217,vencido
Laboratorio San Jorge SAS,2025-12-17,660819.0,nacional,-216,vencido
Infantiles ABBA,2025-12-25,372550.0,nacional,-208,vencido
Infantiles ABBA,2025-12-25,248367.0,nacional,-208,vencido
Infantiles ABBA,2025-12-25,102880.0,nacional,-208,vencido
Softys,2025-12-27,1319270.0,nacional,-206,vencido
Grupo Family & Home,2025-12-28,53418.0,nacional,-205,vencido
Grupo Family & Home,2025-12-28,409711.0,nacional,-205,vencido
Armaty,2025-12-29,497208.0,nacional,-204,vencido
Armaty,2025-12-29,147537.0,nacional,-204,vencido
Infantiles ABBA,2026-01-02,232759.0,nacional,-200,vencido
Infantiles ABBA,2026-01-02,75369.0,nacional,-200,vencido
Infantiles ABBA,2026-01-02,50654.0,nacional,-200,vencido
Infantiles ABBA,2026-01-11,308514.0,nacional,-191,vencido
Comercializadora Tiernitos,2026-01-11,23692.0,nacional,-191,vencido
Infantiles ABBA,2026-01-11,205474.0,nacional,-191,vencido
Distribuidora Negociemos Pharma,2026-01-19,103880.0,nacional,-183,vencido
Laboratorio San Jorge SAS,2026-01-20,2311511.0,nacional,-182,vencido
Softys,2026-01-21,1012231.0,nacional,-181,vencido
Grupo Family & Home,2026-01-23,133546.0,nacional,-179,vencido
Grupo Family & Home,2026-01-23,181196.0,nacional,-179,vencido
Distribuidora Extra SAS,2026-01-23,38106.0,nacional,-179,vencido
Praktiplas,2026-01-24,703808.0,nacional,-178,vencido
Softys,2026-01-27,1324718.0,nacional,-175,vencido
Softys,2026-01-29,242798.0,nacional,-173,vencido
Praktiplas,2026-01-29,148000.0,nacional,-173,vencido
Praktiplas,2026-01-29,802308.0,nacional,-173,vencido
Praktiplas,2026-01-29,465304.0,nacional,-173,vencido
Praktiplas,2026-01-30,609304.0,nacional,-172,vencido
Bivien,2026-02-02,0.18,nacional,-169,vencido
Praktiplas,2026-02-07,97745.0,nacional,-164,vencido
Praktiplas,2026-02-09,58240.0,nacional,-162,vencido
Grupo Family & Home,2026-02-09,30749.0,nacional,-162,vencido
Grupo Family & Home,2026-02-09,499238.0,nacional,-162,vencido
Grupo Family & Home,2026-02-09,356129.0,nacional,-162,vencido
Softys,2026-02-11,1208351.0,nacional,-160,vencido
Infantiles ABBA,2026-02-14,545783.0,nacional,-157,vencido
Infantiles ABBA,2026-02-14,363855.0,nacional,-157,vencido
Tecnoquimicas,2026-02-18,1631328.0,nacional,-153,vencido
Softys,2026-02-18,2287521.0,nacional,-153,vencido
Comercializadora Tiernitos,2026-02-19,23691.0,nacional,-152,vencido
Praktiplas,2026-02-19,179290.0,nacional,-152,vencido
Armaty,2026-02-21,516443.0,nacional,-150,vencido
Laboratorio San Jorge SAS,2026-02-25,1508903.0,nacional,-146,vencido
Softys,2026-02-25,231448.0,nacional,-146,vencido
Softys,2026-02-25,65329.0,nacional,-146,vencido
Distribuidora Extra SAS,2026-02-27,63306.0,nacional,-144,vencido
Distribuidora Extra SAS,2026-02-27,63306.0,nacional,-144,vencido
Distribuidora Extra SAS,2026-02-27,37111.0,nacional,-144,vencido
Infantiles ABBA,2026-03-07,94276.0,nacional,-136,vencido
Praktiplas,2026-03-08,442534.0,nacional,-135,vencido
Praktiplas,2026-03-08,182133.0,nacional,-135,vencido
Yiwu Jinchen Imp And Exp,2026-03-08,3115890.0,internacional,-135,vencido
Grupo Family & Home,2026-03-10,382359.0,nacional,-133,vencido
Praktiplas,2026-03-10,167520.0,nacional,-133,vencido
Comercializadora Multidrogas,2026-03-13,501000.0,nacional,-130,vencido
Grupo Family & Home,2026-03-14,73864.0,nacional,-129,vencido
Distribuidora Negociemos Pharma,2026-03-18,289036.0,nacional,-125,vencido
Praktiplas,2026-03-19,73299.0,nacional,-124,vencido
Infantiles ABBA,2026-03-20,323147.0,nacional,-123,vencido
Infantiles ABBA,2026-03-20,215431.0,nacional,-123,vencido
Tecnoquimicas,2026-03-21,1544244.0,nacional,-122,vencido
Praktiplas,2026-03-22,181780.0,nacional,-121,vencido
Softys,2026-03-23,1074042.0,nacional,-120,vencido
Praktiplas,2026-03-24,790827.0,nacional,-119,vencido
Armaty,2026-03-27,360502.0,nacional,-116,vencido
Praktiplas,2026-03-28,13944.0,nacional,-115,vencido
Softys,2026-03-29,603905.0,nacional,-114,vencido
Comercializadora Multidrogas,2026-03-30,5000000.0,nacional,-113,vencido
Grupo Family & Home,2026-03-31,10485944.0,nacional,-112,vencido
Grupo Family & Home,2026-03-31,398006.0,nacional,-112,vencido
Laboratorio San Jorge SAS,2026-03-31,421193.0,nacional,-112,vencido
Praktiplas,2026-04-05,806264.0,nacional,-107,vencido
Praktiplas,2026-04-05,103606.0,nacional,-107,vencido
Grupo Family & Home,2026-04-06,99337.0,nacional,-106,vencido
Grupo Family & Home,2026-04-07,34129.0,nacional,-105,vencido
Grupo Family & Home,2026-04-07,236759.0,nacional,-105,vencido
Infantiles ABBA,2026-04-09,514553.0,nacional,-103,vencido
Bivien,2026-04-12,3673582.0,nacional,-100,vencido
Grupo Family & Home,2026-04-17,52595.0,nacional,-95,vencido
Softys,2026-04-18,461962.0,nacional,-94,vencido
Bivien,2026-04-19,3275597.0,nacional,-93,vencido
Infantiles ABBA,2026-04-19,123167.0,nacional,-93,vencido
Infantiles ABBA,2026-04-19,246334.0,nacional,-93,vencido
Grupo Family & Home,2026-04-22,49462.0,nacional,-90,vencido
Grupo Family & Home,2026-04-22,371362.0,nacional,-90,vencido
Grupo Family & Home,2026-04-24,96945.0,nacional,-88,vencido
Grupo Family & Home,2026-04-24,521513.0,nacional,-88,vencido
Armaty,2026-04-25,575665.0,nacional,-87,vencido
Softys,2026-04-27,909656.0,nacional,-85,vencido
Praktiplas,2026-05-03,309120.0,nacional,-79,vencido
Yiwu Jinchen Imp And Exp,2026-05-06,7886590.0,internacional,-76,vencido
Tecnoquimicas,2026-05-06,83301.0,nacional,-76,vencido
Infantiles ABBA,2026-05-09,171632.0,nacional,-73,vencido
Softys,2026-05-10,806363.0,nacional,-72,vencido
Laboratorio San Jorge SAS,2026-05-11,310624.0,nacional,-71,vencido
Yiwu Jinchen Imp And Exp,2026-05-15,13764600.0,internacional,-67,vencido
Grupo Family & Home,2026-05-16,813389.0,nacional,-66,vencido
Grupo Family & Home,2026-05-16,84085.0,nacional,-66,vencido
Infantiles ABBA,2026-05-16,77203.0,nacional,-66,vencido
Tecnoquimicas,2026-05-19,11339937.0,nacional,-63,vencido
Softys,2026-05-20,661147.0,nacional,-62,vencido
Softys,2026-05-20,117433.0,nacional,-62,vencido
Softys,2026-05-20,10004.0,nacional,-62,vencido
Grupo Family & Home,2026-05-23,11427000.0,nacional,-59,vencido
Distribuidora Extra SAS,2026-05-27,67672.0,nacional,-55,vencido
Distribuidora Extra SAS,2026-05-27,41477.0,nacional,-55,vencido
Armaty,2026-05-29,34273.0,nacional,-53,vencido
Armaty,2026-05-30,24813.0,nacional,-52,vencido
Grupo Family & Home,2026-05-30,102881.0,nacional,-52,vencido
Grupo Family & Home,2026-05-30,37690.0,nacional,-52,vencido
Roma SA,2026-06-02,74392.0,nacional,-49,vencido
Roma SA,2026-06-02,442733.0,nacional,-49,vencido
Praktiplas,2026-06-04,347045.0,nacional,-47,vencido
Infantiles ABBA,2026-06-04,152341.0,nacional,-47,vencido
Laboratorio San Jorge SAS,2026-06-04,121008.0,nacional,-47,vencido
Grupo Family & Home,2026-06-06,661969.0,nacional,-45,vencido
Grupo Family & Home,2026-06-06,151356.0,nacional,-45,vencido
Praktiplas,2026-06-08,74538.0,nacional,-43,vencido
Laboratorio San Jorge SAS,2026-06-10,184633.0,nacional,-41,vencido
Infantiles ABBA,2026-06-13,66538.0,nacional,-38,vencido
Softys,2026-06-13,270276.0,nacional,-38,vencido
Laboratorio San Jorge SAS,2026-06-18,369987.0,nacional,-33,vencido
Praktiplas,2026-06-20,308960.0,nacional,-31,vencido
Softys,2026-06-22,36209.0,nacional,-29,vencido
Forros para Coche,2026-06-24,1242000.0,nacional,-27,vencido
Infantiles ABBA,2026-06-25,102465.0,nacional,-26,vencido
Laboratorio San Jorge SAS,2026-06-25,221025.0,nacional,-26,vencido
Softys,2026-06-27,849562.0,nacional,-24,vencido
Praktiplas,2026-07-04,21979928.0,nacional,-17,vencido
Grupo Family & Home,2026-07-04,102881.0,nacional,-17,vencido
Laboratorio San Jorge SAS,2026-07-07,313972.0,nacional,-14,vencido
Grupo Family & Home,2026-07-11,1070840.0,nacional,-10,vencido
Grupo Family & Home,2026-07-11,252254.0,nacional,-10,vencido
Armaty,2026-07-12,282820.0,nacional,-9,vencido
Praktiplas,2026-07-14,12261760.0,nacional,-7,vencido
Infantiles ABBA,2026-07-23,7850561.0,nacional,2,esta_semana
Infantiles ABBA,2026-07-23,6597110.0,nacional,2,esta_semana
Importadora panama,2026-07-23,50361600.0,internacional,2,esta_semana
Velox,2026-07-23,234296320.0,internacional,2,esta_semana
Tecnoquimicas,2026-07-23,25707966.0,nacional,2,esta_semana
Diseños y Puntadas,2026-07-24,1264000.0,nacional,3,esta_semana
Grupo Family & Home,2026-07-24,13542000.0,nacional,3,esta_semana
Grupo Family & Home,2026-07-24,3059966.0,nacional,3,esta_semana
Softys,2026-07-24,4262725.0,nacional,3,esta_semana
Infantiles ABBA,2026-07-26,2311500.0,nacional,5,esta_semana
Infantiles ABBA,2026-07-26,2750685.0,nacional,5,esta_semana
Farmadisa,2026-07-28,4723221.0,nacional,7,esta_semana
Softys,2026-07-28,2877008.0,nacional,7,esta_semana
Softys,2026-07-28,36005776.0,nacional,7,esta_semana
Farmadisa,2026-07-28,949549.0,nacional,7,esta_semana
Tecnoquimicas,2026-07-29,40945736.0,nacional,8,prox_2_semanas
Bivien,2026-07-29,108058282.0,nacional,8,prox_2_semanas
Tecnoquimicas,2026-08-02,27649205.0,nacional,12,prox_2_semanas
Tecnoquimicas,2026-08-02,51044455.0,nacional,12,prox_2_semanas
Bivien,2026-08-03,9844160.0,nacional,13,prox_2_semanas
Grupo Family & Home,2026-08-03,2808000.0,nacional,13,prox_2_semanas
Grupo Family & Home,2026-08-05,7679999.0,nacional,15,prox_mes
Infantiles ABBA,2026-08-08,5024990.0,nacional,18,prox_mes
Grupo Family & Home,2026-08-08,6119932.0,nacional,18,prox_mes
Infantiles ABBA,2026-08-08,5979738.0,nacional,18,prox_mes
Diseños y Puntadas,2026-08-09,789993.0,nacional,19,prox_mes
Infantiles ABBA,2026-08-09,4073145.0,nacional,19,prox_mes
Infantiles ABBA,2026-08-09,4795992.0,nacional,19,prox_mes
Bivien,2026-08-09,15633380.0,nacional,19,prox_mes
Bivien,2026-08-10,14996863.0,nacional,20,prox_mes
Grupo Empresarial Bernal Hoyos SAS,2026-08-10,26946185.0,nacional,20,prox_mes
Tecnoquimicas,2026-08-13,28394278.0,nacional,23,prox_mes
Tecnoquimicas,2026-08-17,16644224.0,nacional,27,prox_mes
Grupo Family & Home,2026-08-21,7325999.0,nacional,31,posterior
Grupo Family & Home,2026-08-21,7361930.0,nacional,31,posterior
Softys,2026-08-21,8433023.0,nacional,31,posterior
Farmadisa,2026-08-22,316516.0,nacional,32,posterior
Farmadisa,2026-08-22,3816901.0,nacional,32,posterior
Grupo Family & Home,2026-08-23,9449897.0,nacional,33,posterior
Softys,2026-08-26,14872873.0,nacional,36,posterior
Grupo Family & Home,2026-09-06,25835998.0,nacional,47,posterior
Grupo Family & Home,2026-09-06,1511997.0,nacional,47,posterior
Grupo Family & Home,2026-09-08,36929998.0,nacional,49,posterior
